,source,target
4985,HDAC4,MEF2A
4986,HDAC4,GRIPAP1
4987,HDAC4,MID2
4988,HDAC4,MEF2C
4989,HDAC4,KRT31
4990,HDAC4,HOOK2
4991,HDAC4,TFIP11
4992,HDAC4,PICK1
4993,HDAC4,TRIB3
4994,HDAC4,TLE5
4995,HDAC4,YWHAE
4996,HDAC4,CDR2L
4997,HDAC4,CEP70
4998,HDAC4,SSX2IP
4999,HDAC4,BLZF1
5000,HDAC4,CCDC136
5001,HDAC4,KRT34
5002,HDAC4,KRT33B
5003,HDAC4,MTUS2
5004,HDAC4,TSGA10
5005,HDAC4,CALCOCO2
5006,HDAC4,FCHSD2
5007,HDAC4,CDR2
5008,HDAC4,ASB15
5009,HDAC4,HSF2BP
5010,HDAC4,CADPS
5011,HDAC4,CCNDBP1
5012,HDAC4,GOLGA2
5013,HDAC4,NFKBID
5014,HDAC4,DYDC1
5015,HDAC4,KRT27
5016,HDAC4,HAP1
5017,HDAC4,LDOC1
5018,HDAC4,BEGAIN
5019,HDAC4,CCDC125
5020,HDAC4,EFHC2
5021,HDAC4,BICD2
5022,HDAC4,FSD2
5023,HDAC4,INCA1
5024,HDAC4,KRT35
5025,HDAC4,GOLGA6L9
5026,HDAC4,TRIM27
5027,HDAC4,KRT40
5028,HDAC4,CDPF1
5029,HDAC4,VPS52
5030,RASSF1,STK3
5031,IFI35,FHL2
5032,IFI35,BCAS2
5033,IFI35,NMI
5034,IFI35,EML2
5035,MEF2A,HSF2BP
5036,TFE3,LAMTOR3
5037,TBC1D25,RAB2A
5038,TBC1D25,LARP1B
5039,TBC1D25,GABARAPL1
5040,TBC1D25,RUSC1
5041,TBC1D25,FAM9B
5042,TBC1D25,TRIML2
5043,TBC1D25,KCNIP1
5044,TBC1D25,LMNTD2
5045,TBC1D25,MAP1LC3C
5046,INPP5A,TEAD2
5047,GPKOW,LNX1
5048,GPKOW,MID2
5049,GPKOW,PIBF1
5050,GPKOW,HOOK2
5051,GPKOW,PICK1
5052,GPKOW,MEOX2
5053,GPKOW,LRP2BP
5054,GPKOW,PHF1
5055,GPKOW,MESD
5056,GPKOW,SORBS3
5057,GPKOW,ARMCX1
5058,GPKOW,TRAF2
5059,GPKOW,MTUS2
5060,GPKOW,GSTM5
5061,GPKOW,BUD13
5062,GPKOW,SH3GL1
5063,GPKOW,GMPPA
5064,GPKOW,DDIT4L
5065,GPKOW,CNKSR3
5066,GPKOW,HSF2BP
5067,GPKOW,REL
5068,GPKOW,GOLGA2
5069,GPKOW,POLR2G
5070,GPKOW,TCEA2
5071,GPKOW,SPDYE4
5072,GPKOW,EFHC2
5073,GPKOW,TCEA1
5074,GPKOW,PRKAR1B
5075,GPKOW,KANK2
5076,GPKOW,TRIM27
5077,GPKOW,VPS52
5078,GPKOW,IKBKG
5079,GRIPAP1,GRIPAP1
5080,GRIPAP1,LNX1
5081,GRIPAP1,SMARCE1
5082,GRIPAP1,PIBF1
5083,GRIPAP1,SNW1
5084,GRIPAP1,TTC23
5085,GRIPAP1,CDC37
5086,GRIPAP1,MEOX2
5087,GRIPAP1,TBC1D30
5088,GRIPAP1,ING4
5089,GRIPAP1,BYSL
5090,GRIPAP1,EHHADH
5091,GRIPAP1,TSNAX
5092,GRIPAP1,RCOR3
5093,GRIPAP1,ENKD1
5094,GRIPAP1,TRAF2
5095,GRIPAP1,ZNF835
5096,GRIPAP1,DUSP26
5097,GRIPAP1,CCNH
5098,GRIPAP1,MFAP1
5099,GRIPAP1,GAS8
5100,GRIPAP1,CBX8
5101,GRIPAP1,FAM50B
5102,GRIPAP1,ZMAT2
5103,GRIPAP1,PPP1R18
5104,GRIPAP1,CWF19L2
5105,GRIPAP1,DISC1
5106,GRIPAP1,NUAK2
5107,GRIPAP1,PRPF18
5108,GRIPAP1,ZNF219
5109,GRIPAP1,CCDC103
5110,GRIPAP1,TEPSIN
5111,GRIPAP1,ANKRD11
5112,GRIPAP1,RAB4A
5113,GRIPAP1,ING5
5114,GRIPAP1,ZNF35
5115,GRIPAP1,FAM161A
5116,GRIPAP1,TCEA2
5117,GRIPAP1,FAM90A1
5118,GRIPAP1,CFAP53
5119,GRIPAP1,SNAPC5
5120,GRIPAP1,TSGA10IP
5121,GRIPAP1,CCDC185
5122,GRIPAP1,TSHZ2
5123,GRIPAP1,CEP57L1
5124,GRIPAP1,ZNF250
5125,GRIPAP1,DAXX
5126,GRIPAP1,AARD
5127,GRIPAP1,FAM187A
5128,GRIPAP1,TCP10L
5129,GRIPAP1,CCDC187
5130,GRIPAP1,MLLT6
5131,FTSJ1,CERT1
5132,REEP1,STX7
5133,REEP1,TMEM97
5134,REEP1,UNC93B1
5135,REEP1,CLDN10
5136,REEP1,CSRP1
5137,REEP1,TMEM100
5138,REEP1,TMEM42
5139,POLR1A,MEOX2
5140,POLR1A,DYDC2
5141,LAPTM4A,TMED8
5142,LAPTM4A,FFAR2
5143,IP6K2,PLOD3
5144,IP6K2,ZBTB2
5145,KIF2A,LMO2
5146,KIF2A,MRPL53
5147,PPP2R5B,PPP2R1A
5148,PYGM,PYGL
5149,PYGM,PYGB
5150,PYGM,PRKAB2
5151,PAGE1,TFRC
5152,PAGE1,DDX49
5153,PAGE1,SLC1A1
5154,PAGE1,TMEM254
5155,PAGE1,TMEM60
5156,PAGE1,TMEM14B
5157,PAGE1,SLC2A5
5158,PAGE1,MGST3
5159,PAGE1,CMTM7
5160,PAGE1,PLPP4
5161,PAGE1,TNF
5162,PITX1,PLA2G10
5163,PITX1,MYH7B
5164,PITX1,CEACAM6
5165,PITX1,NID2
5166,PITX1,ANKRD10
5167,PITX1,YPEL3
5168,PITX1,PTK6
5169,PITX1,GATA1
5170,PITX1,HSF4
5171,PITX1,TLE5
5172,PITX1,HOXA1
5173,PITX1,ABHD11
5174,PITX1,SERPINE1
5175,PITX1,ATN1
5176,PITX1,TRIM23
5177,PITX1,PLEKHB2
5178,PITX1,IPO13
5179,PITX1,MSX2
5180,PITX1,TBX22
5181,PITX1,PFDN5
5182,PITX1,SERGEF
5183,PITX1,KRT34
5184,PITX1,SPAG8
5185,PITX1,DCTN3
5186,PITX1,C11orf1
5187,PITX1,TBX19
5188,PITX1,FAM168B
5189,PITX1,TEKT5
5190,PITX1,DVL3
5191,PITX1,SLC15A2
5192,PITX1,MYOZ3
5193,PITX1,METTL27
5194,PITX1,TSC1
5195,PITX1,KLHL26
5196,PITX1,MGAT5B
5197,PITX1,ROR2
5198,PITX1,KRT83
5199,PITX1,EFEMP2
5200,PITX1,UFSP1
5201,PITX1,HYI
5202,PITX1,MAGED1
5203,PITX1,KRTAP13-2
5204,PITX1,KRTAP8-1
5205,PITX1,KRTAP6-1
5206,PITX1,KRTAP6-2
5207,PITX1,KRTAP19-5
5208,PITX1,PLSCR3
5209,PITX1,C19orf54
5210,PITX1,ZNF34
5211,PITX1,ARID5A
5212,PITX1,CYSRT1
5213,PITX1,KRTAP26-1
5214,PITX1,BPIFA1
5215,PITX1,KRTAP13-1
5216,PITX1,DZIP3
5217,PITX1,C9orf57
5218,PITX1,IGFL2
5219,PITX1,PRR20B
5220,PITX1,PRR20A
5221,PITX1,VGLL3
5222,PITX1,KRTAP3-3
5223,PITX1,KRTAP6-3
5224,PITX1,PSMB11
5225,PITX1,C10orf55
5226,PITX1,PRR20D
5227,PITX1,PRR20C
5228,PITX1,PRR20E
5229,PITX1,KRTAP19-7
5230,PITX1,STH
5231,PITX1,NHLRC4
5232,PITX1,KRTAP7-1
5233,PITX1,SIK1B
5234,ADGRF5,FNDC3B
5235,ADGRF5,SEC13
5236,ADGRF5,CABP2
5237,SDK2,VMAC
5238,VPS35,VPS29
5239,VPS35,VPS26A
5240,VPS35,VPS26B
5241,DNAJA2,DYNLT1
5242,GAL,SGTA
5243,GAL,UBQLN1
5244,GAL,UBQLN2
5245,GAL,ASPH
5246,CLEC2D,ERMP1
5247,CLEC2D,PLLP
5248,CLEC2D,LEPROTL1
5249,CLEC2D,NKG7
5250,CLEC2D,IL1RL1
5251,CLEC2D,SEC22A
5252,CLEC2D,PLP1
5253,CLEC2D,GPR42
5254,CLEC2D,CD68
5255,CLEC2D,KLRC1
5256,CLEC2D,CXCL9
5257,CLEC2D,TMEM190
5258,CLEC2D,TM4SF18
5259,CLEC2D,CLDN19
5260,CLEC2D,CLDN2
5261,CLEC2D,FNDC9
5262,CLEC2D,TMEM80
5263,CLEC2D,RPRM
5264,CLEC2D,ADIPOQ
5265,CLEC2D,BRICD5
5266,CLEC2D,B3GALT5
5267,CLEC2D,ATP6V0C
5268,CLEC2D,CLEC2A
5269,CLEC2D,ENTPD8
5270,CLEC2D,FAM3C
5271,CLEC2D,PLN
5272,CLEC2D,SYT15
5273,CLEC2D,DEFB121
5274,CLEC2D,TSPAN4
5275,CLEC2D,CLRN2
5276,CLEC2D,
5277,MAOB,FGF14
5278,MAOB,COX20
5279,PLA2G10,POU4F3
5280,PLA2G10,HSF4
5281,PLA2G10,TFG
5282,PLA2G10,OTX1
5283,PLA2G10,STK16
5284,PLA2G10,SNRPC
5285,PLA2G10,ATXN1
5286,PLA2G10,GATA5
5287,PLA2G10,BEX2
5288,PLA2G10,ZC3H10
5289,PLA2G10,SPAG8
5290,PLA2G10,MAPKBP1
5291,PLA2G10,C1orf94
5292,PLA2G10,CREB5
5293,PLA2G10,CCDC120
5294,PLA2G10,TBX6
5295,PLA2G10,BAG3
5296,PLA2G10,NTAQ1
5297,PLA2G10,LCE2B
5298,PLA2G10,GNE
5299,PLA2G10,FOXH1
5300,PLA2G10,PPP1R32
5301,PLA2G10,TLX3
5302,PLA2G10,MGAT5B
5303,PLA2G10,VPS37C
5304,PLA2G10,HR
5305,PLA2G10,ROR2
5306,PLA2G10,MAL
5307,PLA2G10,AGXT
5308,PLA2G10,FAM222B
5309,PLA2G10,CATSPER1
5310,PLA2G10,KRTAP11-1
5311,PLA2G10,HGS
5312,PLA2G10,LCE1A
5313,PLA2G10,LCE2A
5314,PLA2G10,LCE2D
5315,PLA2G10,NOXA1
5316,PLA2G10,INCA1
5317,PLA2G10,ARID5A
5318,PLA2G10,LCE1C
5319,PLA2G10,CYSRT1
5320,PLA2G10,KRTAP26-1
5321,PLA2G10,KPRP
5322,PLA2G10,VGLL3
5323,PLA2G10,AQP1
5324,ATP1B3,STOM
5325,ATP1B3,SMAGP
5326,ATP1B3,CTXN3
5327,NEDD4,GABARAPL1
5328,NEDD4,TP53BP2
5329,NEDD4,SMAD3
5330,NEDD4,POLR1C
5331,NEDD4,SHISA6
5332,NEDD4,MYO15B
5333,MAPK6,MAPKAPK5
5334,MAPK6,ANKRD2
5335,RAB27A,SYTL4
5336,RAB27A,SYTL1
5337,RAB27A,SYTL5
5338,RAB27A,SYTL3
5339,RAB27A,MYRIP
5340,UFD1,NPLOC4
5341,LRP6,CKLF
5342,SCT,HOXA1
5343,SCT,USHBP1
5344,SCT,MEIS2
5345,SCT,HGS
5346,NUCB2,FFAR2
5347,NUCB2,SLC7A1
5348,NUCB2,ARL13B
5349,NUCB2,ASPH
5350,PTPN3,MLH1
5351,PTPN3,TFAP4
5352,PTPN3,MTMR9
5353,PTPN3,TRIM41
5354,PTPN3,RNF111
5355,PTPN3,VWA2
5356,PTPN3,LMO1
5357,PTPN3,TENT5D
5358,PTPN3,PLEKHF2
5359,PTPN3,WDR6
5360,PTPN3,AKR1C1
5361,PTPN3,
5362,DAPP1,FAIM
5363,DAPP1,FXN
5364,FGF10,THAP1
5365,FGF10,SREK1IP1
5366,SMG6,MEOX2
5367,EXOC5,THOC1
5368,EXOC5,OAS1
5369,EXOC5,CRYBB1
5370,EXOC5,PTK6
5371,EXOC5,IFT57
5372,EXOC5,RAB14
5373,EXOC5,EXOC6
5374,EXOC5,KIFC3
5375,EXOC5,C1orf216
5376,EXOC5,EXOC6B
5377,EXOC5,DEUP1
5378,EXOC5,RAB4B
5379,EXOC5,RAB4A
5380,EXOC5,FGA
5381,EXOC5,RAB4B-EGLN2
5382,EXOC5,MAGEA6
5383,EXOC5,MAGEA3
5384,RNF126,UBE2D1
5385,RNF126,UBE2D4
5386,RNF126,UBE2D3
5387,RNF126,UBL3
5388,RNF126,UBE2D2
5389,RNF126,MIEN1
5390,RNF126,UBE2E3
5391,RNF126,UBE2E2
5392,RNF126,CENPP
5393,MNT,NCK2
5394,ZXDC,SUOX
5395,ZXDC,POGZ
5396,ZXDC,CBR4
5397,ZXDC,MEPE
5398,ZXDC,ZMYND19
5399,ZXDC,WDR5
5400,JMJD6,NAA50
5401,ASNS,TRIM69
5402,AP3M2,MEOX2
5403,CFAP20,ARL2BP
5404,CFAP20,CLASRP
5405,CSNK2A2,PICK1
5406,CSNK2A2,TRIM41
5407,CSNK2A2,CSNK2B
5408,CSNK2A2,ZNF670
5409,PTPN21,PIBF1
5410,PTPN21,PAK5
5411,PTPN21,BMX
5412,PTPN21,PARD6A
5413,PTPN21,TRIM14
5414,PTPN21,RASD1
5415,PTPN21,MAGOHB
5416,PTPN21,NEK6
5417,PTPN21,MOB3C
5418,PTPN21,BAG3
5419,PTPN21,UBASH3B
5420,PTPN21,VPS26C
5421,PTPN21,CWC22
5422,PTPN21,NSMF
5423,PTPN21,GOLGA2
5424,PTPN21,QARS1
5425,PTPN21,ZNF497
5426,PTPN21,CATSPER1
5427,PTPN21,SNX18
5428,PTPN21,FBXO17
5429,CAMK2A,RBFOX2
5430,CAMK2A,CDC37
5431,CAMK2A,RHOXF2
5432,CAMK2A,SOX5
5433,CAMK2A,TTC5
5434,CAMK2A,SUOX
5435,CAMK2A,C1orf94
5436,CAMK2A,CAMK2D
5437,CAMK2A,CAMK2G
5438,CAMK2A,GLB1L2
5439,CAMK2A,TIAL1
5440,CAMK2A,FAM168B
5441,CAMK2A,NTAQ1
5442,CAMK2A,RBPMS
5443,CAMK2A,TSR2
5444,CAMK2A,RBM47
5445,CAMK2A,RBPMS2
5446,CAMK2A,LENG8
5447,CAMK2A,KRT75
5448,CAMK2A,TEX37
5449,CAMK2A,MRPL11
5450,CAMK2A,DAZAP2
5451,CAMK2A,KRTAP8-1
5452,CAMK2A,RALYL
5453,CAMK2A,KRTAP6-1
5454,CAMK2A,KRT76
5455,CAMK2A,HYAL3
5456,CAMK2A,KRTAP22-1
5457,CAMK2A,KRTAP6-2
5458,CAMK2A,KRTAP15-1
5459,CAMK2A,KRTAP19-5
5460,CAMK2A,KRTAP23-1
5461,CAMK2A,ARID5A
5462,CAMK2A,TCAF1
5463,CAMK2A,VARS1
5464,CAMK2A,KRTAP6-3
5465,CAMK2A,KRTAP19-3
5466,CAMK2A,KRTAP19-7
5467,CDC42,PAK5
5468,CDC42,PARD6B
5469,CDC42,CDC42EP1
5470,CDC42,CDC42EP2
5471,CDC42,PAK2
5472,OSBPL3,LNX1
5473,OSBPL3,SYTL4
5474,OSBPL3,ZBTB16
5475,OSBPL3,BYSL
5476,OSBPL3,RALGPS2
5477,OSBPL3,PRPF3
5478,OSBPL3,STK35
5479,OSBPL3,ZNF835
5480,OSBPL3,GABARAPL1
5481,OSBPL3,RPL11
5482,OSBPL3,PLK4
5483,OSBPL3,PRPF18
5484,OSBPL3,ACSM1
5485,OSBPL3,FAM161A
5486,OSBPL3,TCEA2
5487,OSBPL3,ZNF497
5488,OSBPL3,TCEANC
5489,OSBPL3,ZNF648
5490,OSBPL3,ZNF48
5491,OSBPL3,WT1
5492,OSBPL3,MCRS1
5493,RAD18,PDCD5
5494,RAD18,TAX1BP1
5495,RAD18,ARRDC3
5496,RAD18,ORC2
5497,RAD18,MAGEA4
5498,RAD18,GOLGA2
5499,RAD18,DAZAP2
5500,TRPM5,HPCAL4
5501,NCK2,TXK
5502,NCK2,DLGAP4
5503,NCK2,TRIP6
5504,NCK2,FBXL19
5505,NCK2,CBARP
5506,NCK2,KCTD17
5507,NCK2,SNW1
5508,NCK2,SCML2
5509,NCK2,ZC2HC1A
5510,NCK2,SF3A2
5511,NCK2,SHD
5512,NCK2,PBX4
5513,NCK2,HOXA1
5514,NCK2,CHN2
5515,NCK2,INTS2
5516,NCK2,ABI3
5517,NCK2,CPSF6
5518,NCK2,WASF1
5519,NCK2,KLHL24
5520,NCK2,WIPF1
5521,NCK2,FASLG
5522,NCK2,ZC2HC1B
5523,NCK2,BCL11A
5524,NCK2,FAM53C
5525,NCK2,SRMS
5526,NCK2,FOSB
5527,NCK2,CHN1
5528,NCK2,RBBP8NL
5529,NCK2,NUTM2F
5530,NCK2,ZNF341
5531,NCK2,BTG1
5532,NCK2,VARS2
5533,NCK2,ABI2
5534,NCK2,C4orf17
5535,NCK2,VPS37B
5536,NCK2,CCDC33
5537,NCK2,GAREM1
5538,NCK2,SF3B4
5539,NCK2,TRIM41
5540,NCK2,CCDC120
5541,NCK2,EIF3H
5542,NCK2,FAM83A
5543,NCK2,KLHL35
5544,NCK2,PAK1
5545,NCK2,CPSF7
5546,NCK2,FAM124A
5547,NCK2,MIA3
5548,NCK2,PIK3AP1
5549,NCK2,SPATA2L
5550,NCK2,HSF2BP
5551,NCK2,SPATC1L
5552,NCK2,ZBTB7B
5553,NCK2,REL
5554,NCK2,DISC1
5555,NCK2,ANKRD55
5556,NCK2,MBD6
5557,NCK2,NFKBID
5558,NCK2,ZNF526
5559,NCK2,SF1
5560,NCK2,REEP4
5561,NCK2,NPAS2
5562,NCK2,USP32
5563,NCK2,SSH3
5564,NCK2,NET1
5565,NCK2,HOXD8
5566,NCK2,MYPOP
5567,NCK2,DTX3
5568,NCK2,GGN
5569,NCK2,ZBTB42
5570,NCK2,PAK2
5571,NCK2,DEFB124
5572,NCK2,CUEDC1
5573,NCK2,PRR16
5574,NCK2,TMEM121
5575,NCK2,CIB1
5576,NCK2,ANKS1B
5577,NCK2,NELFA
5578,NCK2,FAM47A
5579,NCK2,CLEC17A
5580,NCK2,KIAA0408
5581,NCK2,INCA1
5582,NCK2,MAGEA6
5583,NCK2,SYNGAP1
5584,NCK2,PHETA1
5585,NCK2,HOXC4
5586,NCK2,CD3E
5587,NCK2,CIPC
5588,NCK2,KPRP
5589,NCK2,NHSL2
5590,NCK2,ZBTB12
5591,NCK2,TRIM27
5592,NCK2,PRR20B
5593,NCK2,PRR20A
5594,NCK2,ONECUT3
5595,NCK2,NCKIPSD
5596,NCK2,HOMEZ
5597,NCK2,PRR20D
5598,NCK2,PRR20C
5599,NCK2,ZNF688
5600,NCK2,PRR20E
5601,NCK2,TCP10L
5602,NCK2,SCX
5603,NCK2,SOCS7
5604,MS4A12,PLLP
5605,MS4A12,MALL
5606,RPS6KA2,MAPK1
5607,ING3,TEX11
5608,ING3,BEX5
5609,ING3,SIVA1
5610,LMCD1,TEKT4
5611,LMCD1,RABIF
5612,BUD23,TRMT112
5613,TRIP13,TRIP13
5614,TRIP13,LNX1
5615,TRIP13,FNDC3B
5616,TRIP13,ANKRD10
5617,TRIP13,PCSK5
5618,TRIP13,CEP170B
5619,TRIP13,ARSA
5620,TRIP13,IL2RB
5621,TRIP13,NME4
5622,TRIP13,UBE2I
5623,TRIP13,PPP2CA
5624,TRIP13,PLSCR4
5625,TRIP13,CLIP4
5626,TRIP13,EEF2KMT
5627,TRIP13,HDHD3
5628,TRIP13,MAD2L1BP
5629,TRIP13,RHOXF2
5630,TRIP13,ZMYM5
5631,TRIP13,DCTN3
5632,TRIP13,SDCBP
5633,TRIP13,TINAGL1
5634,TRIP13,SELENBP1
5635,TRIP13,SSC4D
5636,TRIP13,C4orf33
5637,TRIP13,VENTX
5638,TRIP13,TENT5B
5639,TRIP13,AMDHD2
5640,TRIP13,PRKAA2
5641,TRIP13,IGFN1
5642,TRIP13,CRYBA2
5643,TRIP13,CYB5R2
5644,TRIP13,MGAT5B
5645,TRIP13,GLYCTK
5646,TRIP13,METTL15
5647,TRIP13,QARS1
5648,TRIP13,TEX37
5649,TRIP13,MYEOV
5650,TRIP13,POLR2L
5651,TRIP13,SHARPIN
5652,TRIP13,C11orf54
5653,TRIP13,KRTAP6-1
5654,TRIP13,CDIN1
5655,TRIP13,KRTAP6-2
5656,TRIP13,KRTAP12-1
5657,TRIP13,PLSCR3
5658,TRIP13,C19orf54
5659,TRIP13,ASB13
5660,TRIP13,ZNF34
5661,TRIP13,INCA1
5662,TRIP13,PAX9
5663,TRIP13,PSMB8
5664,TRIP13,PRR13
5665,TRIP13,KRTAP12-4
5666,TRIP13,DDAH2
5667,TRIP13,MBLAC1
5668,TCF3,HAND1
5669,TCF3,ID3
5670,TCF3,ID1
5671,TCF3,ASCL3
5672,TCF3,TCAF1
5673,TCF3,TWIST2
5674,TRIB2,PARVG
5675,DAZAP1,SNRPA
5676,MBD3,PICK1
5677,MBD3,CEP76
5678,MBD3,TTC23
5679,MBD3,STMN2
5680,MBD3,MEIS3
5681,MBD3,PBX4
5682,MBD3,MEOX2
5683,MBD3,AGR2
5684,MBD3,TBC1D19
5685,MBD3,CCNC
5686,MBD3,IK
5687,MBD3,CEP70
5688,MBD3,MYOG
5689,MBD3,RAB3IP
5690,MBD3,EXOC4
5691,MBD3,TIMM10B
5692,MBD3,MTUS2
5693,MBD3,RINT1
5694,MBD3,TRIM54
5695,MBD3,RCN3
5696,MBD3,MIPOL1
5697,MBD3,TNNI1
5698,MBD3,REL
5699,MBD3,PKNOX2
5700,MBD3,GOLGA2
5701,MBD3,GATAD2A
5702,MBD3,SERTAD3
5703,MBD3,ANKRD33
5704,MBD3,IGFBP6
5705,MBD3,CT55
5706,MBD3,SYCE1
5707,MBD3,GADD45GIP1
5708,MBD3,MKRN3
5709,MBD3,LDOC1
5710,MBD3,MAGEA2B
5711,MBD3,NUTM1
5712,MBD3,KRT16
5713,MBD3,ASCL4
5714,MBD3,PRKAR1B
5715,MBD3,CENPP
5716,MBD3,ZNF655
5717,MBD3,PDGFA
5718,MBD3,GOLGA6L9
5719,MBD3,PFDN6
5720,MBD3,CCHCR1
5721,MBD3,CCDC183
5722,MBD3,MAGEA2
5723,MBD3,
5724,CPSF1,INCA1
5725,CYBRD1,STX7
5726,CYBRD1,HMOX1
5727,CYBRD1,VAPA
5728,CYBRD1,PLP2
5729,CYBRD1,RABAC1
5730,CYBRD1,FKBP8
5731,CYBRD1,GOSR2
5732,CYBRD1,SERP1
5733,CYBRD1,SEC22A
5734,CYBRD1,VAPB
5735,CYBRD1,SERP2
5736,CYBRD1,ZFPL1
5737,CYBRD1,TMEM65
5738,CYBRD1,LPAR3
5739,CYBRD1,TMEM120A
5740,CYBRD1,GIMAP5
5741,PDCD2,TBC1D21
5742,RDH11,TMEM31
5743,PRKACA,PRKAR1A
5744,PRKACA,AVPI1
5745,PRKACA,PKIB
5746,PRKACA,PRKAR1B
5747,ACTN1,LNX1
5748,ACTN1,GADD45G
5749,ACTN1,EIF2S1
5750,ACTN1,TXN
5751,ACTN1,DYNLT1
5752,ACTN1,NKAPD1
5753,ACTN1,MICALL2
5754,ACTN1,SYNPO2L
5755,ACTN1,MYOZ2
5756,ACTN1,MYOZ1
5757,ACTN1,EPM2AIP1
5758,ACTN1,C14orf119
5759,ACTN1,ACTN3
5760,ZFYVE26,HOOK2
5761,ZFYVE26,TTC23
5762,ZFYVE26,MDFI
5763,ZFYVE26,CCDC136
5764,ZFYVE26,USHBP1
5765,ZFYVE26,KRT34
5766,ZFYVE26,USP20
5767,ZFYVE26,ASB15
5768,ZFYVE26,HMBOX1
5769,ZFYVE26,TDO2
5770,ZFYVE26,GPRASP2
5771,ZFYVE26,PPP1R16A
5772,ZFYVE26,CEP44
5773,ZFYVE26,KRT27
5774,ZFYVE26,CBY2
5775,ZFYVE26,PLEKHF2
5776,ZFYVE26,TCEANC
5777,ZFYVE26,MAGED1
5778,ZFYVE26,CCDC125
5779,ZFYVE26,KRT40
5780,ZFYVE26,KRTAP10-7
5781,RPS6KA6,SPRED2
5782,EPN2,MID2
5783,EPN2,TXLNA
5784,EPN2,CDIP1
5785,EPN2,MID1
5786,EPN2,EIF3E
5787,EPN2,ARRDC2
5788,EPN2,RNF8
5789,EPN2,ARRDC3
5790,EPN2,TRIM23
5791,EPN2,PLEKHB2
5792,EPN2,TRIM62
5793,EPN2,MLANA
5794,EPN2,PMEPA1
5795,EPN2,ATXN1
5796,EPN2,WBP2
5797,EPN2,SPART
5798,EPN2,FAIM2
5799,EPN2,UBC
5800,EPN2,PRKAA2
5801,EPN2,PIP4P1
5802,EPN2,WBP1L
5803,EPN2,SMAD1
5804,EPN2,THOP1
5805,EPN2,DAZAP2
5806,EPN2,FANCM
5807,EPN2,LITAF
5808,EPN2,ARRDC1
5809,EPN2,UBA52
5810,EPN2,TRIM26
5811,EPN2,WBP1
5812,ASIC4,OTX2
5813,SPEG,PICK1
5814,SPEG,MEOX2
5815,SPEG,PRMT1
5816,SPEG,HSF2BP
5817,LNX1,AP1M1
5818,LNX1,TSG101
5819,LNX1,TRAF4
5820,LNX1,SNRPA
5821,LNX1,UBE2D4
5822,LNX1,PAFAH1B3
5823,LNX1,MID2
5824,LNX1,NDC80
5825,LNX1,TRAF5
5826,LNX1,ZNF446
5827,LNX1,ZNF213
5828,LNX1,TRIP6
5829,LNX1,GMCL1
5830,LNX1,PPP1R13B
5831,LNX1,SPG21
5832,LNX1,DTX2
5833,LNX1,DHPS
5834,LNX1,HOOK2
5835,LNX1,PRTFDC1
5836,LNX1,DDX17
5837,LNX1,DMC1
5838,LNX1,CBY1
5839,LNX1,PRMT5
5840,LNX1,TCL1A
5841,LNX1,PSMC1
5842,LNX1,PSME2
5843,LNX1,PAK5
5844,LNX1,CEP76
5845,LNX1,LUZP4
5846,LNX1,SCML2
5847,LNX1,NECAB2
5848,LNX1,CDIPT
5849,LNX1,MYEF2
5850,LNX1,LEPROTL1
5851,LNX1,KCTD9
5852,LNX1,CRX
5853,LNX1,CABP5
5854,LNX1,KXD1
5855,LNX1,SP4
5856,LNX1,HOXA1
5857,LNX1,TAX1BP1
5858,LNX1,AIMP2
5859,LNX1,MEOX2
5860,LNX1,POU6F2
5861,LNX1,LHX2
5862,LNX1,TRIM14
5863,LNX1,GLRX3
5864,LNX1,RUNDC3A
5865,LNX1,CBX1
5866,LNX1,MLX
5867,LNX1,TNFAIP1
5868,LNX1,ALDOC
5869,LNX1,TRIM3
5870,LNX1,BIRC2
5871,LNX1,SRSF3
5872,LNX1,KHDRBS2
5873,LNX1,GMNN
5874,LNX1,ZBTB24
5875,LNX1,CEP72
5876,LNX1,THG1L
5877,LNX1,ZNF346
5878,LNX1,CEP70
5879,LNX1,FXR1
5880,LNX1,REEP6
5881,LNX1,KLHL12
5882,LNX1,BLZF1
5883,LNX1,TNFAIP3
5884,LNX1,EEF2KMT
5885,LNX1,C10orf88
5886,LNX1,ENOX1
5887,LNX1,EXOSC8
5888,LNX1,CCDC91
5889,LNX1,NECAB1
5890,LNX1,PFDN5
5891,LNX1,DNPEP
5892,LNX1,NAGK
5893,LNX1,PSMF1
5894,LNX1,RBCK1
5895,LNX1,RALY
5896,LNX1,TRAF2
5897,LNX1,HIP1
5898,LNX1,PAICS
5899,LNX1,FOXP2
5900,LNX1,ORMDL1
5901,LNX1,CDKN2D
5902,LNX1,EGLN3
5903,LNX1,SAT1
5904,LNX1,ACTN4
5905,LNX1,CEP85
5906,LNX1,SHFL
5907,LNX1,ZNF426
5908,LNX1,TRAF3
5909,LNX1,PSME3
5910,LNX1,THAP1
5911,LNX1,TRIM21
5912,LNX1,ARFIP2
5913,LNX1,MTUS2
5914,LNX1,ARF3
5915,LNX1,KCTD1
5916,LNX1,RAB33A
5917,LNX1,PRPH
5918,LNX1,TACO1
5919,LNX1,DERL1
5920,LNX1,SYTL2
5921,LNX1,TRIM54
5922,LNX1,ABI2
5923,LNX1,CASP6
5924,LNX1,GUCD1
5925,LNX1,VPS37B
